document_id,english author,certain authorship,english work title,tlg_genre,genre_first,genre_second,genre_third,group,greek work title,latin work title,geography,ethnicity,year,gender,komplet_fragment,id_nummer,sort_id,kommentar,Greek,Latin,tlg_author_id,tlg_work_id,skal_fjernes,has_tlg_id,has_comment_in_name,graph
perseus_tlg2003.tlg005.perseus-grc1,Julian the Emperor,TRUE,Letter to the Senate and the People of Athens,Epistolographa,Prose,Letter,,,Ἀθηναίων τῇ βουλῇ καὶ τῷ δήμῳ,,Constantinople,,361 AD,M,,0.0,0,,TRUE,FALSE,tlg2003,tlg005,False,TRUE,FALSE,
perseus_tlg0007.tlg065.perseus-grc2,Plutarch,TRUE,Galba,Biographa,Prose,Biography ,,Important Biographies,Γάλβας,Galba,"Delphi, Greece",Greek,100 AD,M,K,1.0,1,,TRUE,FALSE,tlg0007,tlg065,False,TRUE,FALSE,
perseus_tlg0010.tlg010.perseus-grc2,Isocrates,TRUE,Busiris,"Encomiastica, Oratio, Rhetorica",Prose,Speech,,,Βούσιρις ,Busiris,Athens,,360 BC,M,,10.0,10,,TRUE,FALSE,tlg0010,tlg010,False,TRUE,FALSE,
perseus_tlg0007.tlg062.perseus-grc2,Plutarch,TRUE,Comparison of Dion and Brutus,Biographa,Prose,Biography ,Syncrisis,Important Biographies,Δίωνος καὶ Βρούτου σύγκρισις,Comparatio Dionis et Bruti,"Delphi, Greece",Greek,100 AD,M,K,100.0,100,,TRUE,FALSE,tlg0007,tlg062,False,TRUE,FALSE,
first1k_tlg1367.tlg001.1st1K-grc1,Euripides,FALSE,Epistulae,Epistolographa,Prose,Letter,,,,Epistulae,,,150 AD,M,K,1000.0,1000,,TRUE,FALSE,tlg1367,tlg001,False,TRUE,FALSE,
first1k_tlg4015.tlg009.opp-grc1,John Philoponus,TRUE,Commentary on Aristotle's Physics,"Commentarius, Naturalis Historia",Prose,Catena / Commentary,Philosophy ,,Εἰς τὸ Α τῆς Ἀριστοτέλους φυσικῆς ἀκροάσεως,In Aristotelis Physicorum Libros Commentaria,Alexandria,,520 AD,M,,1001.0,1001,,TRUE,FALSE,tlg4015,tlg009,False,TRUE,FALSE,
first1k_tlg0676.tlg001.1st1K-grc1,Aglaïs Byzantius,FALSE,Πρὸς τὰς ἀρχομένας ὑποχύσεις,"Elegiaca, Medica",Prose,Treaty,Medicine,,Πρὸς τὰς ἀρχομένας ὑποχύσεις,Adversus suffusiones incipientes,Byzantium,,,M,K,1002.0,1002,,TRUE,FALSE,tlg0676,tlg001,False,TRUE,FALSE,
first1k_tlg0086.tlg021.1st1K-grc1,Aristotle,TRUE,Movement of Animals,Naturalis Historia,Prose,Treaty,Biology,,Περὶ ζῴων κινήσεως,De motu animalium,Athens,,330 BC,M,K,1003.0,1003,,TRUE,FALSE,tlg0086,tlg021,False,TRUE,FALSE,
first1k_tlg1699.tlg002.1st1K-grc1,Teles of Megara,FALSE,On Self-Suffieciency,Philosophica,Prose,Essay / Treaty,Philosophy ,,Περὶ αὐταρκείας,,,,235 BC,M,,1004.0,1004,,TRUE,FALSE,tlg1699,tlg002,False,TRUE,FALSE,
first1k_tlg1325.tlg001.1st1K-grc1,Diogenes of Sinope,FALSE,Epistles,Epistolographa,Prose,Letter,,,,Epistulae,,,150 BC / 300 AD,M,K,1005.0,1005,,TRUE,FALSE,tlg1325,tlg001,False,TRUE,FALSE,
first1k_tlg0527.tlg001.opp-grc2,Moses,FALSE,Genesis,"Historica, Religiosa",Prose,Narrative,Theology,LXX Historiographies,Γένεσις,Genesis,Israel,Jewish,500 BC,M,K,1006.0,1006,,TRUE,FALSE,tlg0527,tlg001,False,TRUE,FALSE,
first1k_tlg0592.tlg004.1st1K-grc1,Hermogenes of Tarsus,TRUE,On types of style,Rhetorica,Prose,Treaty,Rhetoric,,Περὶ ἰδεῶν λόγου,,Tarsus,,160 AD,M,K,1007.0,1007,,TRUE,FALSE,tlg0592,tlg004,False,TRUE,FALSE,
first1k_tlg1486.tlg001.1st1K-grc1,Matron of Pitana,TRUE,Attic Dinner Party,Parodica,Poetry,Epic poem,Parody,,Ἀττικόν Δει̑πνον,Convivium Atticum,Pitana,,350 BC,M,,1008.0,1008,,TRUE,FALSE,tlg1486,tlg001,False,TRUE,FALSE,
first1k_tlg0555.tlg001.1st1K-grc1,Clement of Alexandria,TRUE,Protrepticus,,,,,,,,,,,M,,1009.0,1009,,TRUE,FALSE,tlg0555,tlg001,True,TRUE,FALSE,
perseus_tlg0030.tlg005.perseus-grc1,Hyperides,TRUE,Against Athenogenes,Oratio,Prose,Speech,,,Κατὰ Ἀθηνογένους,In Athenogenem,Athens,,335 BC,M,K,101.0,101,,TRUE,FALSE,tlg0030,tlg005,False,TRUE,FALSE,
first1k_tlg0057.tlg052.1st1K-grc1,Galen,FALSE,Coma according to Hippocrates,Medica,Prose,Treaty,Medicine,,Περὶ τοῦ παρ' Ἱπποκράτει κώματος,De comate secundum Hippocratem,Rome,,180 AD,M,,1010.0,1010,,TRUE,FALSE,tlg0057,tlg052,False,TRUE,FALSE,
first1k_tlg2655.tlg002.1st1K-grc1,Damigeron,FALSE,The Virtues of Stones,"Magica, Naturlais Historia",Prose,Treaty,Natural History,,Περὶ λίθων,De lapidibus,,,150 AD,M,,1011.0,1011,,TRUE,FALSE,tlg2655,tlg002,False,TRUE,FALSE,
first1k_tlg2200.tlg00449.opp-grc1,Libanius,TRUE,"To the Emperor, for the City Counsils",Oratio,Prose,Speech,,,Πρὸς τὸν Βασιλέα ὑπὲρ τῶν βουλῶν,Oratio 49,Antioch,,365 AD,M,K,1012.0,1012,,TRUE,FALSE,tlg2200,tlg00449,False,TRUE,FALSE,
first1k_tlg0057.tlg008.1st1K-grc1,Galen,TRUE,On the Elements according to Hippocrates,"Commentarius, Medica",Prose,Catena / Commentary,Medicine,,Περὶ τῶν καθ’ Ἱπποκράτην στοιχείων,De elementis ex Hippocrate libri ii ,Rome,,180 AD,M,,1013.0,1013,,TRUE,FALSE,tlg0057,tlg008,False,TRUE,FALSE,
first1k_tlg4013.tlg001.opp-grc1,Simplicius,TRUE,Commentary on Aristotle's On the Heavens,"Commentarius, Naturalis Historia, Philosophica",Prose,Catena / Commentary,Philosophy ,,Εἰς τό ἀ τῶν Ἀριστοτέλους Περὶ οὐρανοῦ,In Aristotelis quattuor libros de caelo commentaria,Athens,,550 AD,M,,1014.0,1014,,TRUE,FALSE,tlg4013,tlg001,False,TRUE,FALSE,
first1k_tlg0011.tlg003.1st1K-grc1,Sophocles,,Ajax,,Poetry,Tragedy,Lyric,,,,,,,M,,1015.0,1015,,TRUE,FALSE,tlg0011,tlg003,True,TRUE,FALSE,
first1k_tlg2200.tlg00408.opp-grc1,Libanius,TRUE,On Poverty,Oratio,Prose,Speech,,,Περὶ πενίας,Oratio 8,Antioch,,365 AD,M,K,1016.0,1016,,TRUE,FALSE,tlg2200,tlg00408,False,TRUE,FALSE,
first1k_tlg0627.tlg009.1st1K-grc1,Hippocrates,FALSE,Fractures,Medica,Prose,Treaty,Medicine,,Περὶ ἀγµῶν,De fracturis,Greece,,390 BC,M,K,1017.0,1017,,TRUE,FALSE,tlg0627,tlg009,False,TRUE,FALSE,
first1k_tlg2200.tlg00518.opp-grc1,Libanius,TRUE,Hyderides' Speech,Rhetorica,Prose,Speech,,,Ὑπερίδης,Declamatio 18,Antioch,,365 AD,M,K,1018.0,1018,,TRUE,FALSE,tlg2200,tlg00518,False,TRUE,FALSE,
